customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0057-ABCDE,Male,0,No,Yes,66,Yes,No,DSL,Yes,No,No,No internet service,No,No,Two year,No,Mailed check,31.32,2051.49,No
0058-ABCDE,Male,0,Yes,Yes,63,Yes,Yes,DSL,No internet service,No,No,No,No internet service,No,Two year,Yes,Credit card (automatic),116.22,6967.2,No
0059-ABCDE,Male,0,No,Yes,23,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No internet service,Two year,Yes,Electronic check,82.75,1868.67,No
0060-ABCDE,Male,0,No,No,9,Yes,No phone service,No,Yes,No internet service,Yes,No,No,No,One year,No,Electronic check,108.46,963.26,Yes
0061-ABCDE,Male,0,No,Yes,34,Yes,No phone service,DSL,No internet service,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),61.48,2064.31,Yes
0062-ABCDE,Male,0,No,No,46,Yes,No phone service,No,No,Yes,No,Yes,No,No internet service,One year,No,Bank transfer (automatic),51.89,2501.36,No
0063-ABCDE,Male,0,No,Yes,4,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),109.87,430.86,Yes
0064-ABCDE,Male,0,No,Yes,30,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.09,822.92,No
0065-ABCDE,Female,0,No,Yes,72,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Two year,No,Electronic check,29.94,2075.79,No
0066-ABCDE,Female,0,Yes,Yes,3,No,Yes,No,No,Yes,No internet service,No,No internet service,Yes,Two year,No,Electronic check,48.53,145.75,No
0067-ABCDE,Male,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),115.9,1566.41,Yes
0068-ABCDE,Female,1,No,No,60,No,No,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),82.57,5011.81,No
0069-ABCDE,Female,0,No,No,45,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),74.53,3238.2,No
0070-ABCDE,Female,0,Yes,Yes,34,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,89.95,3081.75,No
0071-ABCDE,Female,0,No,Yes,45,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No,One year,No,Mailed check,60.58,2815.04,No
0072-ABCDE,Male,0,Yes,Yes,61,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Credit card (automatic),95.32,5548.52,No
0073-ABCDE,Female,0,Yes,Yes,16,No,Yes,DSL,No,Yes,No,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),58.11,922.3,No
0074-ABCDE,Male,1,Yes,No,66,Yes,Yes,No,No internet service,Yes,No,Yes,No,No internet service,Two year,Yes,Electronic check,102.29,6724.84,No
0075-ABCDE,Female,1,No,Yes,40,Yes,Yes,No,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),45.26,1863.1,Yes
0076-ABCDE,Female,0,No,No,17,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No,No internet service,Month-to-month,No,Mailed check,46.31,784.74,Yes
0077-ABCDE,Female,1,Yes,Yes,34,No,No,DSL,No internet service,No internet service,No internet service,No,Yes,No,Two year,No,Mailed check,71.28,2439.89,No
0078-ABCDE,Male,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,No,Bank transfer (automatic),61.94,1019.9,No
0079-ABCDE,Female,0,Yes,Yes,60,Yes,No phone service,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),84.11,5076.76,No
0080-ABCDE,Male,0,Yes,Yes,66,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,One year,Yes,Credit card (automatic),55.16,3588.97,No
0081-ABCDE,Female,1,Yes,No,66,Yes,Yes,No,Yes,No internet service,No,Yes,No internet service,Yes,Two year,No,Mailed check,41.52,2626.83,No
0082-ABCDE,Male,0,No,Yes,13,Yes,Yes,No,No,No,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,65.92,876.66,No
0083-ABCDE,Female,0,Yes,Yes,56,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),75.22,4368.66,Yes
0084-ABCDE,Male,0,No,Yes,31,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.55,1056.48,No
0085-ABCDE,Male,0,Yes,No,34,Yes,No phone service,Fiber optic,No,No,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,74.79,2651.34,Yes
0086-ABCDE,Female,0,No,Yes,39,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),50.56,2030.49,Yes
0087-ABCDE,Male,0,No,Yes,67,No,No,No,No internet service,No,No internet service,Yes,Yes,No internet service,One year,Yes,Mailed check,58.03,3943.79,No
0088-ABCDE,Female,0,No,No,8,Yes,No,DSL,Yes,No,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),46.49,382.39,No
0089-ABCDE,Female,0,No,No,55,Yes,No,DSL,Yes,No internet service,Yes,No,No,No internet service,Two year,Yes,Credit card (automatic),113.0,6172.79,No
0090-ABCDE,Female,0,No,No,27,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,87.7,2390.34,No
0091-ABCDE,Female,0,No,Yes,53,Yes,No phone service,No,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,44.77,2336.91,No
0092-ABCDE,Female,0,Yes,Yes,39,Yes,No phone service,No,No,No,No internet service,Yes,No internet service,Yes,One year,Yes,Mailed check,83.79,3211.18,No
0093-ABCDE,Female,0,No,Yes,65,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Two year,No,Mailed check,104.55,6970.19,No
0094-ABCDE,Female,1,Yes,No,17,Yes,Yes,DSL,Yes,Yes,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),58.97,997.87,No
0095-ABCDE,Female,0,No,Yes,30,No,Yes,Fiber optic,Yes,No,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),102.66,2991.15,No
0096-ABCDE,Female,0,No,Yes,53,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),33.75,1735.43,No
0097-ABCDE,Female,0,Yes,No,13,No,Yes,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,101.92,1372.55,Yes
0098-ABCDE,Female,0,No,No,21,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),73.11,1562.6,Yes
0099-ABCDE,Male,0,Yes,No,19,Yes,Yes,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,40.74,777.62,Yes
0100-ABCDE,Male,0,Yes,No,53,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,59.53,3123.84,Yes
0101-ABCDE,Female,0,Yes,No,19,Yes,Yes,DSL,No,No,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),118.78,2241.21,Yes
0102-ABCDE,Female,0,Yes,Yes,57,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),97.92,5334.43,No
0103-ABCDE,Female,0,No,No,25,Yes,No phone service,No,No,No internet service,No,Yes,Yes,Yes,Two year,Yes,Mailed check,76.66,1907.86,No
0104-ABCDE,Female,0,No,Yes,31,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,29.75,949.5,No
0105-ABCDE,Female,0,Yes,Yes,55,Yes,Yes,No,Yes,Yes,No internet service,Yes,No internet service,No,Two year,No,Mailed check,60.62,3296.75,No
0106-ABCDE,Female,0,No,No,23,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),44.83,1019.09,Yes
0107-ABCDE,Female,0,No,No,32,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),25.24,768.57,No
0108-ABCDE,Female,0,Yes,No,62,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,No,Yes,One year,No,Credit card (automatic),73.3,4525.44,No
0109-ABCDE,Male,0,No,Yes,10,No,No phone service,DSL,Yes,Yes,No internet service,Yes,No internet service,No,Two year,No,Electronic check,108.7,1035.4,Yes
0110-ABCDE,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),86.91,6301.54,No
0111-ABCDE,Male,0,Yes,No,54,Yes,Yes,DSL,No,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),43.47,2348.97,No
0112-ABCDE,Female,0,No,No,52,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),76.51,4113.79,No
0113-ABCDE,Female,0,No,No,20,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),114.21,2302.88,Yes
0114-ABCDE,Male,1,No,No,32,Yes,Yes,No,No internet service,Yes,Yes,No,No internet service,Yes,Two year,No,Credit card (automatic),91.74,2883.84,No
0115-ABCDE,Female,1,Yes,Yes,14,No,No,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),88.33,1238.63,No
0116-ABCDE,Male,0,Yes,Yes,50,Yes,No phone service,DSL,No,No,No internet service,No,No internet service,Yes,One year,Yes,Credit card (automatic),116.75,5954.08,No
0117-ABCDE,Female,0,No,Yes,28,Yes,No,Fiber optic,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),99.49,2672.61,Yes
0118-ABCDE,Female,1,No,No,53,Yes,Yes,No,Yes,No internet service,No internet service,No,No,No internet service,Two year,No,Electronic check,31.94,1713.32,No
0119-ABCDE,Male,0,No,No,24,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,One year,No,Bank transfer (automatic),53.46,1336.49,No
0120-ABCDE,Female,0,No,No,22,Yes,No,No,No internet service,No,No,Yes,No internet service,No,Month-to-month,No,Mailed check,116.44,2510.22,Yes
0121-ABCDE,Male,0,Yes,Yes,30,Yes,Yes,No,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,67.95,2064.31,Yes
0122-ABCDE,Female,0,No,No,63,Yes,No phone service,Fiber optic,No,Yes,No,No,No internet service,No internet service,Two year,Yes,Mailed check,29.39,1911.07,No
0123-ABCDE,Male,0,Yes,No,4,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No internet service,Two year,Yes,Credit card (automatic),64.78,259.43,No
0124-ABCDE,Male,0,Yes,No,59,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No internet service,Two year,No,Credit card (automatic),89.09,5370.89,No
0125-ABCDE,Female,0,No,Yes,8,Yes,Yes,DSL,No,No internet service,No,No internet service,No,No,Two year,Yes,Mailed check,119.75,939.89,Yes
0126-ABCDE,Female,0,No,No,12,No,No,DSL,No,No,No internet service,Yes,No internet service,No internet service,One year,No,Credit card (automatic),51.04,600.6,No
0127-ABCDE,Male,0,No,Yes,31,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No,No,One year,Yes,Credit card (automatic),70.44,2220.23,No
0128-ABCDE,Female,0,Yes,No,34,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,107.73,3738.06,No
0129-ABCDE,Female,0,No,Yes,49,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,No,Mailed check,54.24,2773.91,No
0130-ABCDE,Female,0,No,Yes,57,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Two year,No,Electronic check,29.14,1615.28,No
0131-ABCDE,Male,1,Yes,Yes,26,Yes,No phone service,Fiber optic,No,No,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,114.79,2975.05,Yes
0132-ABCDE,Male,0,No,No,18,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,67.82,1190.3,Yes
0133-ABCDE,Male,0,Yes,No,38,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),69.28,2522.09,Yes
0134-ABCDE,Male,0,No,Yes,50,Yes,Yes,No,No,No,No internet service,No,Yes,Yes,One year,No,Bank transfer (automatic),81.36,4028.63,No
0135-ABCDE,Male,0,Yes,Yes,8,Yes,Yes,DSL,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,18.36,145.03,Yes
0136-ABCDE,Male,0,No,No,41,Yes,Yes,No,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),112.98,4525.84,Yes
0137-ABCDE,Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,No,One year,No,Electronic check,54.87,322.54,Yes
0138-ABCDE,Male,0,Yes,Yes,69,Yes,Yes,No,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,58.49,3979.47,No
0139-ABCDE,Male,0,Yes,No,44,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.76,1650.36,No
0140-ABCDE,Female,0,No,No,64,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),56.57,3722.92,No
0141-ABCDE,Male,0,Yes,No,29,No,No phone service,No,Yes,No,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,100.0,2775.71,Yes
0142-ABCDE,Female,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.6,2892.66,Yes
0143-ABCDE,Female,0,Yes,Yes,11,Yes,No,No,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),113.45,1264.59,Yes
0144-ABCDE,Female,0,Yes,No,65,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,59.13,3993.57,No
0145-ABCDE,Male,1,No,No,19,No,Yes,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),90.29,1688.36,Yes
0146-ABCDE,Male,0,No,Yes,9,Yes,No phone service,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),69.74,625.43,Yes
0147-ABCDE,Male,0,Yes,Yes,27,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),100.01,2807.26,Yes
0148-ABCDE,Male,0,Yes,No,34,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),90.68,3013.0,Yes
0149-ABCDE,Female,0,Yes,No,44,Yes,Yes,No,Yes,No,No internet service,No internet service,No internet service,No,One year,No,Credit card (automatic),55.53,2544.84,No
0150-ABCDE,Male,0,Yes,No,68,Yes,Yes,DSL,No,Yes,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,52.34,3676.04,No
0151-ABCDE,Male,0,No,No,15,Yes,Yes,No,Yes,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),43.75,687.79,Yes
0152-ABCDE,Male,0,No,Yes,51,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),76.8,3847.97,Yes
0153-ABCDE,Male,0,Yes,Yes,13,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,116.31,1472.08,Yes
0154-ABCDE,Male,0,Yes,Yes,49,Yes,Yes,No,No,No,No internet service,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),38.41,1850.26,No
0155-ABCDE,Female,0,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),27.72,2028.62,No
0156-ABCDE,Male,0,No,No,56,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,No,Electronic check,30.18,1661.87,Yes
0157-ABCDE,Female,0,Yes,No,51,Yes,No,No,No internet service,No internet service,No,Yes,Yes,No,One year,No,Bank transfer (automatic),97.88,5024.43,No
0158-ABCDE,Male,0,No,No,37,No,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),53.71,1968.13,Yes
0159-ABCDE,Female,0,Yes,Yes,17,Yes,No,DSL,Yes,No internet service,No,No,No,No internet service,One year,No,Credit card (automatic),40.89,687.92,No
0160-ABCDE,Male,0,No,Yes,58,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,53.99,3035.4,No
0161-ABCDE,Male,1,Yes,No,29,Yes,No,No,No,No internet service,Yes,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),83.82,2439.79,No
0162-ABCDE,Female,0,No,Yes,33,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,73.77,2519.47,Yes
